Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
45,Sphere,2.985956446790831,3.1160066835322504,3.0,4.0,3.9638628623587016,4.0,2.893660068511963,3.0,1000.0,5.0,3.0
46,Sphere,4.747497797488279,4.990857677036649,5.0,6.0,5.96848472328548,6.0,4.536273002624512,5.0,1000.0,10.0,5.0
47,Sphere,8.477607407778855,10.312923598690565,9.0,11.0,11.033351600348265,11.0,9.247749328613281,9.0,1000.0,15.0,10.0
48,Sphere,19.194609794458753,34.15237449846744,21.0,32.0,32.52961735733987,31.0,22.93350601196289,23.0,1000.0,35.0,30.0
49,Sphere,26.42245981119346,53.2078095605319,28.0,52.0,51.26536615769334,51.0,29.41124725341797,32.0,1000.0,55.0,50.0
50,Sphere,32.94117411358053,73.43207015850486,35.0,71.0,70.27893003254452,71.0,40.45077896118164,39.0,1000.0,75.0,70.0
51,Affine_3to5,2.768423584875125,3.2203236332721703,3.0,3.0,2.609637794270199,3.0,2.8754987716674805,3.0,1000.0,5.0,3.0
52,Affine,4.339074488623701,5.0,4.0,5.0,5.1028444229165,5.0,4.719008445739746,5.0,1000.0,5.0,5.0
53,Affine,7.758151984168285,10.0,8.0,10.0,10.084441367830411,10.0,8.34605884552002,8.0,1000.0,10.0,10.0
54,Affine,13.258539511027605,20.0,14.0,19.0,20.386688702132975,20.0,14.46567440032959,15.0,1000.0,20.0,20.0
55,Nonlinear_4to6,3.711601702627113,4.250657766874564,4.0,4.0,3.0315520166516494,5.0,3.6191649436950684,4.0,1000.0,6.0,4.0
56,Nonlinear,4.369266433432793,3.2975462187378937,4.0,5.0,7.889052768519138,8.0,3.8018932342529297,4.0,1000.0,8.0,4.0
57,Nonlinear,6.94604480702928,6.526156066284557,7.0,8.0,12.333919779020949,12.0,5.6517534255981445,6.0,1000.0,36.0,6.0
58,Nonlinear,9.250568650221034,10.741079909066,9.0,12.0,16.266057018600883,16.0,7.935418128967285,8.0,1000.0,64.0,8.0
59,Nonlinear,12.93247121039556,16.493973407986488,13.0,18.0,24.041702215033535,24.0,12.140758514404297,12.0,1000.0,72.0,12.0
60,Spiral,1.7395300086637557,1.5023271499523956,2.0,2.0,2.1120982508168282,2.0,0.9472891092300415,1.0,1000.0,3.0,1.0
61,Spiral,1.7351251166131973,1.4249933670102377,2.0,2.0,2.087456314452536,2.0,0.9826120734214783,1.0,1000.0,13.0,1.0
62,Helix1d,1.0883629538994661,1.2608405700115675,1.0,1.0,2.6725975956940693,3.0,0.9878363609313965,1.0,1000.0,3.0,1.0
63,Helix1d,1.0838309741161132,1.0565986307610429,1.0,1.0,2.584740658594252,3.0,0.9825442433357239,1.0,1000.0,13.0,1.0
64,Helix2d,2.747922365065134,2.9091010887193396,3.0,3.0,2.561503874168138,3.0,2.070260524749756,2.0,1000.0,3.0,2.0
65,Helix2d,2.7696753489243195,3.048130263742181,3.0,3.0,2.5065304879643255,3.0,2.1208879947662354,2.0,1000.0,13.0,2.0
66,Helicoid,2.138445131243212,2.309567367609243,2.0,2.0,1.8196846519837537,2.0,1.883316993713379,2.0,1000.0,3.0,2.0
67,Helicoid,2.1134261415355815,2.2781845639948988,2.0,2.0,1.8235209296776023,2.0,2.0228142738342285,2.0,1000.0,13.0,2.0
68,Roll,1.954201955995848,1.6841783490147062,2.0,2.0,2.915850698187345,3.0,2.000509738922119,2.0,1000.0,3.0,2.0
69,Roll,1.9575603781169653,2.3576526726679266,2.0,2.0,2.9733193183419173,3.0,1.9630460739135742,2.0,1000.0,13.0,2.0
70,Scurve,1.8917477551982573,1.9616339869748585,2.0,2.0,2.2423854464395845,3.0,2.034972906112671,2.0,1000.0,3.0,2.0
71,Scurve,1.9147015572732045,2.0431693985844928,2.0,2.0,2.144694218295435,3.0,2.049286127090454,2.0,1000.0,13.0,2.0
72,Moebius,2.0616377561074906,1.1524937449569772,2.0,2.0,2.306113751422328,3.0,2.1056160926818848,2.0,1000.0,3.0,2.0
73,Uniform,4.304541339741308,4.632700093139428,4.0,5.0,5.007142876575268,5.0,4.483549118041992,5.0,1000.0,10.0,5.0
74,Uniform,7.788534110548442,9.227533308990994,8.0,10.0,10.202565150524082,10.0,8.566259384155273,9.0,1000.0,15.0,10.0
75,Uniform,17.779494489506867,28.848744991311097,19.0,29.0,29.22051198063592,30.0,20.34851837158203,20.0,1000.0,35.0,30.0
76,Uniform,25.057737152421545,51.44548560674021,27.0,48.0,48.64597147747591,50.0,28.92098617553711,31.0,1000.0,55.0,50.0
77,Uniform,30.869461442072115,74.79134664741052,34.0,70.0,72.88036628752799,70.0,34.59074783325195,37.0,1000.0,75.0,70.0
