Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
35,Cubic,34.20926766080261,74.23356037049942,36.0,75.0,67.26658419091666,71.0,32.430885314941406,35.0,1000.0,90.0,70.0
36,Sphere,2.9885863562483252,3.1156223498140125,3.0,3.0,3.951025120996701,4.0,2.9054417610168457,3.0,1000.0,5.0,3.0
37,Sphere,4.676672637805432,4.956750870386064,5.0,6.0,5.948526384274605,6.0,4.669887542724609,5.0,1000.0,10.0,5.0
38,Sphere,8.248961025139785,9.02267594865405,8.0,10.0,10.934735264239643,11.0,7.715565204620361,8.0,1000.0,15.0,10.0
39,Sphere,19.704773861695873,28.419953051603226,20.0,29.0,31.234942107368862,31.0,21.488140106201172,22.0,1000.0,35.0,30.0
40,Sphere,28.057636946880617,47.718973296137044,29.0,49.0,50.2922591128014,51.0,32.14515686035156,32.0,1000.0,55.0,50.0
41,Sphere,35.4216798802245,70.01902571489778,37.0,70.0,71.3808351853865,71.0,41.248626708984375,40.0,1000.0,75.0,70.0
42,Affine_3to5,3.028161861054907,3.1125804447258227,3.0,3.0,2.664925783664277,3.0,2.9321014881134033,3.0,1000.0,5.0,3.0
43,Affine,5.051436896835055,5.0,5.0,5.0,4.984671781981486,5.0,4.760454177856445,5.0,1000.0,5.0,5.0
44,Affine,8.960269543801358,10.0,9.0,10.0,9.883525699323222,10.0,8.51689624786377,9.0,1000.0,10.0,10.0
45,Affine,14.787474901701971,20.0,15.0,19.0,19.596770932289253,20.0,13.597286224365234,15.0,1000.0,20.0,20.0
46,Nonlinear_4to6,4.003789555464905,4.11282956075842,4.0,6.0,3.1795122523584123,5.0,3.8056347370147705,4.0,1000.0,6.0,4.0
47,Nonlinear,4.144947198564668,3.9722062737412327,4.0,5.0,7.152557826247026,8.0,3.850205898284912,4.0,1000.0,8.0,4.0
48,Nonlinear,6.351484543878164,6.114468887469278,6.0,8.0,10.790335766650573,12.0,5.950523853302002,6.0,1000.0,36.0,6.0
49,Nonlinear,8.374054400890165,9.302116299827736,8.0,10.0,14.229875780656158,16.0,7.610683441162109,8.0,1000.0,64.0,8.0
50,Nonlinear,12.387136283366944,15.208973605801988,12.0,18.0,22.51523212836146,24.0,10.900484085083008,11.0,1000.0,72.0,12.0
51,Spiral,1.7586268804373326,1.8910072365929185,1.0,1.0,2.011739255845878,2.0,0.9570624828338623,1.0,1000.0,3.0,1.0
52,Spiral,1.7962484704523134,1.955172771339445,1.0,1.0,2.0570234178989257,2.0,1.0820579528808594,1.0,1000.0,13.0,1.0
53,Helix1d,1.0258663765246323,1.0795550150916595,1.0,1.0,2.7197352914556094,3.0,1.0289634466171265,1.0,1000.0,3.0,1.0
54,Helix1d,1.005891766108069,1.0024569638341816,1.0,1.0,2.7155885691175428,3.0,0.9548850655555725,1.0,1000.0,13.0,1.0
55,Helix2d,2.8658085325311906,3.0,3.0,3.0,2.3582844842494985,3.0,1.98493230342865,2.0,1000.0,3.0,2.0
56,Helix2d,2.8295182800800243,3.25352018733773,2.0,3.0,2.3595706339351947,3.0,1.913253664970398,2.0,1000.0,13.0,2.0
57,Helicoid,2.138481495003851,2.090949824872817,2.0,2.0,2.248949907770779,3.0,2.0748822689056396,2.0,1000.0,3.0,2.0
