Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
29,Uniform,7.940173471643953,8.604441189394823,8.0,10.0,9.80846211079959,10.0,8.497314453125,8.0,1000.0,15.0,10.0
30,Uniform,19.006885828462313,26.7156698393553,20.0,28.0,30.449018830728527,30.0,19.312944412231445,20.0,1000.0,35.0,30.0
31,Uniform,27.236929763376114,51.089565216806925,28.0,49.0,50.41264614007648,50.0,27.68094253540039,28.0,1000.0,55.0,50.0
32,Uniform,34.087905507478965,71.69296882248452,36.0,73.0,70.17693645137295,70.0,34.83177185058594,35.0,1000.0,75.0,70.0
33,Norm,15.30167782091286,20.0,16.0,20.0,20.04822097265332,20.0,13.27035903930664,14.0,1000.0,20.0,20.0
34,Norm,15.078548411186404,21.838397699767697,16.0,23.0,20.345898942048034,20.0,14.092683792114258,15.0,1000.0,50.0,20.0
35,Norm,27.28994988966422,50.0,29.0,48.0,49.267708855959995,50.0,23.95706558227539,26.0,1000.0,50.0,50.0
36,Norm,27.378024396682758,54.98916372096278,29.0,48.0,49.63081199263366,50.0,23.997379302978516,26.0,1000.0,70.0,50.0
37,Paraboloid,2.852932860498688,2.912310218199811,3.0,3.0,1.8120049412322075,1.0,2.160306930541992,2.0,1000.0,12.0,3.0
38,Paraboloid,4.78021729024937,5.712893960063578,5.0,7.0,1.463398737971557,1.0,2.555856704711914,2.0,1000.0,21.0,6.0
39,Paraboloid,6.0101748717759484,8.949600862580679,6.0,8.0,1.3101611570690004,1.0,2.536907434463501,2.0,1000.0,30.0,9.0
40,Paraboloid,6.686115179166521,11.990896750072453,7.0,8.0,1.2255023700114704,1.0,3.047478199005127,3.0,1000.0,39.0,12.0
41,Paraboloid,6.935656840348084,13.735725736314683,7.0,8.0,1.1629991665178405,1.0,3.3401265144348145,3.0,1000.0,48.0,15.0
42,Cubic,3.0739131144218725,2.9567971956545906,3.0,3.0,4.00521515850917,4.0,3.151045560836792,3.0,1000.0,5.0,3.0
